id,dzien_rozliczenia,product1,product2,product3,product4
4,2023-10-12,96.0,36,0.0,1.0
8,2023-10-12,90.0,30,0.0,0.0
2,2023-10-12,194.0,75,0.0,1.0
37,2023-10-12,63.0,40,0.0,0.0
3,2023-10-12,77.0,44,0.0,0.0
6,2023-10-12,63.0,39,0.0,0.0
9,2023-10-12,69.0,26,0.0,2.0
1,2023-10-12,92.0,52,0.0,4.0
7,2023-10-12,93.0,50,0.0,3.0
2,2023-10-11,142.0,57,0.0,1.0
37,2023-10-11,73.0,32,0.0,3.0
8,2023-10-11,90.5,49,0.0,1.0
7,2023-10-11,60.0,39,0.0,1.0
3,2023-10-11,88.0,60,0.0,0.0
6,2023-10-11,104.0,59,0.0,2.0
9,2023-10-11,63.0,33,0.0,5.0
1,2023-10-11,95.0,68,0.0,1.0
4,2023-10-11,95.0,38,0.0,2.0
6,2023-10-10,56.0,34,0.0,0.0
2,2023-10-10,130.0,55,0.0,0.0
1,2023-10-10,69.0,39,0.0,0.0
9,2023-10-10,42.0,24,0.0,1.0
3,2023-10-10,76.0,28,0.0,4.0
37,2023-10-10,63.0,36,0.0,1.0
8,2023-10-10,111.0,41,0.0,1.0
4,2023-10-10,67.0,28,0.0,4.0
7,2023-10-10,61.0,36,0.0,2.0
6,2023-10-09,29.0,20,0.0,0.0
7,2023-10-09,46.0,31,0.0,0.0
8,2023-10-09,78.0,20,0.0,4.0
37,2023-10-09,43.0,21,0.0,2.0
3,2023-10-09,57.0,40,0.0,0.0
2,2023-10-09,88.0,41,0.0,0.0
4,2023-10-09,63.5,24,0.0,3.0
1,2023-10-09,65.0,54,0.0,0.0
9,2023-10-09,33.0,17,0.0,1.0
2,2023-10-08,70.0,43,0.0,3.0
8,2023-10-07,98.0,28,0.0,5.0
2,2023-10-07,282.0,103,0.0,2.0
1,2023-10-07,160.0,65,0.0,0.0
4,2023-10-07,130.0,40,0.0,6.0
9,2023-10-07,74.0,30,0.0,0.0
6,2023-10-07,54.0,38,0.0,0.0
3,2023-10-07,87.0,51,0.0,1.0
7,2023-10-07,103.0,48,0.0,0.0
37,2023-10-07,114.0,47,0.0,1.0
1,2023-10-06,74.0,39,0.0,1.0
8,2023-10-06,123.0,40,0.0,2.0
9,2023-10-06,45.0,20,0.0,1.0
2,2023-10-06,99.0,39,0.0,2.0
4,2023-10-06,60.0,18,0.0,2.0
37,2023-10-06,63.0,31,0.0,0.0
3,2023-10-06,90.0,46,0.0,5.0
7,2023-10-06,71.0,33,0.0,2.0
6,2023-10-06,35.5,26,0.0,0.0
6,2023-10-05,57.0,38,0.0,0.0
2,2023-10-05,164.0,94,0.0,3.0
9,2023-10-05,49.0,15,0.0,3.0
4,2023-10-05,73.0,41,0.0,0.0
7,2023-10-05,85.0,48,0.0,5.0
3,2023-10-05,65.0,45,0.0,0.0
8,2023-10-05,102.0,37,0.0,1.0
37,2023-10-05,67.0,37,0.0,0.0
1,2023-10-05,96.0,62,0.0,1.0
37,2023-10-04,62.0,20,0.0,2.0
4,2023-10-04,64.0,34,0.0,2.0
8,2023-10-04,93.0,49,0.0,11.0
3,2023-10-04,81.0,48,0.0,1.0
6,2023-10-04,90.5,43,0.0,2.0
9,2023-10-04,61.0,29,0.0,1.0
1,2023-10-04,77.0,46,0.0,0.0
7,2023-10-04,72.0,35,0.0,0.0
2,2023-10-04,125.0,69,0.0,3.0
6,2023-10-03,50.0,34,0.0,0.0
9,2023-10-03,51.0,16,0.0,4.0
3,2023-10-03,69.0,49,0.0,0.0
7,2023-10-03,65.0,45,0.0,4.0
8,2023-10-03,84.0,44,0.0,2.0
37,2023-10-03,65.0,34,0.0,1.0
2,2023-10-03,126.0,54,0.0,3.0
1,2023-10-03,93.0,52,0.0,1.0
4,2023-10-03,60.0,18,0.0,2.0
4,2023-10-02,52.0,23,0.0,11.0
7,2023-10-02,53.0,26,0.0,2.0
1,2023-10-02,64.0,33,2.0,0.0
9,2023-10-02,48.0,24,0.0,4.0
8,2023-10-02,72.0,27,0.0,5.0
6,2023-10-02,36.0,33,0.0,1.0
37,2023-10-02,47.0,30,0.0,1.0
3,2023-10-02,51.0,21,4.0,0.0
